person,age,occupation,workclass,education,hours per week,marital status,race,relationship,sex,capital gain,capital loss,education num,native country,fnlwgt,income
person 10188,36,Craft-repair,Private,Some-college,40,Never-married,Asian-Pac-Islander,Not-in-family,Male,0,0,10,Laos,228157,<=50K
person 10189,43,Adm-clerical,Private,Some-college,50,Never-married,White,Not-in-family,Female,0,0,10,United-States,199191,<=50K
person 10190,27,Adm-clerical,Private,HS-grad,40,Never-married,Black,Not-in-family,Female,0,0,9,United-States,189775,<=50K
person 10191,17,Other-service,Private,11th,12,Never-married,White,Own-child,Male,0,0,7,United-States,171080,<=50K
person 10193,41,Craft-repair,Self-emp-inc,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,0,9,United-States,82049,<=50K
person 10194,41,Exec-managerial,Self-emp-not-inc,HS-grad,38,Married-civ-spouse,White,Husband,Male,0,0,9,United-States,126094,<=50K
person 10196,48,Adm-clerical,Local-gov,Assoc-acdm,40,Separated,Black,Not-in-family,Female,0,0,12,United-States,246392,<=50K
person 10197,51,?,?,Assoc-voc,50,Married-civ-spouse,White,Husband,Male,0,0,11,United-States,69328,>50K
person 10199,54,Farming-fishing,Private,Preschool,60,Married-civ-spouse,White,Husband,Male,0,0,1,United-States,286989,<=50K
person 10200,22,Sales,Private,Some-college,48,Divorced,White,Own-child,Female,0,0,10,Iran,190483,<=50K
person 10202,47,Handlers-cleaners,Private,7th-8th,40,Divorced,Black,Other-relative,Male,0,0,4,United-States,359766,<=50K
person 10204,30,Tech-support,Private,Bachelors,40,Never-married,White,Not-in-family,Female,0,0,13,United-States,170154,>50K
person 10205,35,Exec-managerial,Private,Masters,40,Never-married,Asian-Pac-Islander,Not-in-family,Male,0,0,14,United-States,337286,<=50K
person 10206,73,Farming-fishing,Self-emp-not-inc,12th,18,Married-civ-spouse,White,Husband,Male,0,0,8,United-States,143833,<=50K
person 10207,17,Other-service,Private,10th,10,Never-married,White,Own-child,Male,0,0,6,Canada,365613,<=50K
person 10209,43,Prof-specialty,Local-gov,Masters,40,Married-civ-spouse,White,Husband,Male,0,0,14,United-States,180096,>50K
person 10210,19,?,?,HS-grad,40,Never-married,White,Own-child,Male,0,0,9,Portugal,371827,<=50K
person 10211,26,Machine-op-inspct,Private,HS-grad,40,Never-married,Other,Unmarried,Female,0,0,9,Columbia,61270,<=50K
person 10212,41,Exec-managerial,Federal-gov,Masters,40,Married-civ-spouse,White,Husband,Male,0,0,14,United-States,564135,>50K
person 10213,52,Protective-serv,State-gov,Some-college,40,Separated,White,Unmarried,Male,0,0,10,United-States,303462,<=50K
person 10214,35,Adm-clerical,Private,HS-grad,32,Separated,White,Unmarried,Female,0,0,9,United-States,193106,<=50K
person 10216,35,Prof-specialty,Private,Assoc-voc,44,Married-spouse-absent,White,Unmarried,Female,0,0,11,United-States,200426,<=50K
person 10217,33,Prof-specialty,Private,Bachelors,40,Never-married,White,Not-in-family,Male,0,0,13,United-States,222654,<=50K
person 10219,42,Sales,Private,Bachelors,60,Never-married,White,Own-child,Male,0,0,13,United-States,132222,<=50K
person 10220,17,Adm-clerical,Private,Some-college,20,Never-married,White,Own-child,Male,0,0,10,United-States,100828,<=50K
person 10223,34,Adm-clerical,Self-emp-not-inc,Some-college,50,Divorced,White,Unmarried,Female,0,0,10,United-States,168906,<=50K
person 10224,37,Prof-specialty,Self-emp-not-inc,Some-college,40,Never-married,Black,Not-in-family,Male,0,0,10,United-States,255454,<=50K
person 10227,21,Sales,Private,Some-college,25,Never-married,White,Own-child,Female,0,0,10,United-States,35424,<=50K
person 10229,53,Transport-moving,Self-emp-not-inc,10th,99,Married-spouse-absent,White,Not-in-family,Male,0,0,6,United-States,151159,<=50K
person 10230,26,Craft-repair,Private,11th,40,Never-married,White,Not-in-family,Male,0,0,7,United-States,410240,<=50K
person 10232,39,Exec-managerial,Private,Bachelors,70,Married-civ-spouse,White,Husband,Male,0,0,13,United-States,269722,<=50K
person 10233,34,Other-service,Private,HS-grad,32,Never-married,Amer-Indian-Eskimo,Unmarried,Female,0,0,9,United-States,223678,<=50K
person 10234,54,Exec-managerial,State-gov,Bachelors,38,Married-civ-spouse,White,Husband,Male,0,0,13,United-States,197184,<=50K
person 10235,50,Protective-serv,Private,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,0,9,United-States,140516,>50K
person 10236,48,Prof-specialty,Local-gov,Bachelors,45,Married-civ-spouse,White,Husband,Male,0,0,13,United-States,85341,<=50K
person 10237,40,Prof-specialty,Self-emp-not-inc,Assoc-acdm,50,Divorced,White,Not-in-family,Female,0,0,12,United-States,192507,<=50K
person 10239,31,Craft-repair,Private,HS-grad,60,Married-civ-spouse,White,Husband,Male,0,0,9,United-States,236861,<=50K
person 10240,46,Adm-clerical,Local-gov,Assoc-acdm,40,Married-civ-spouse,White,Husband,Male,0,0,12,United-States,327886,<=50K
person 10242,38,Exec-managerial,Private,Bachelors,40,Never-married,White,Unmarried,Female,0,0,13,Cuba,229180,<=50K
person 10243,24,Other-service,Private,Bachelors,30,Never-married,White,Own-child,Female,0,0,13,United-States,284317,<=50K
person 10244,24,Sales,Private,Some-college,50,Never-married,Asian-Pac-Islander,Not-in-family,Female,0,0,10,Philippines,73514,<=50K
person 10246,43,Other-service,State-gov,Assoc-acdm,30,Married-spouse-absent,White,Unmarried,Female,0,0,12,United-States,134782,<=50K
person 10247,48,Handlers-cleaners,Private,HS-grad,40,Divorced,Asian-Pac-Islander,Unmarried,Female,0,0,9,South,118831,<=50K
person 10248,41,Craft-repair,Private,HS-grad,40,Separated,Black,Not-in-family,Male,0,0,9,United-States,299505,<=50K
person 10251,45,Prof-specialty,Private,Prof-school,40,Never-married,White,Not-in-family,Male,0,0,15,United-States,327886,>50K
person 10252,45,Prof-specialty,Private,Bachelors,40,Never-married,White,Own-child,Male,0,0,13,United-States,187730,<=50K
person 10253,55,Adm-clerical,Private,Some-college,38,Divorced,White,Not-in-family,Female,0,0,10,United-States,109015,<=50K
person 10254,46,Exec-managerial,Self-emp-not-inc,7th-8th,75,Married-civ-spouse,White,Husband,Male,0,0,4,Greece,110015,<=50K
person 10255,24,Prof-specialty,Private,Bachelors,40,Never-married,Asian-Pac-Islander,Own-child,Male,0,0,13,United-States,104146,<=50K
person 10256,31,Adm-clerical,Local-gov,Some-college,25,Never-married,Amer-Indian-Eskimo,Own-child,Female,0,0,10,United-States,50442,<=50K
person 10258,37,Adm-clerical,Local-gov,Some-college,40,Separated,White,Not-in-family,Female,0,0,10,United-States,333664,<=50K
person 10259,29,Prof-specialty,Private,Some-college,45,Married-civ-spouse,White,Husband,Male,0,0,10,United-States,224858,<=50K
person 10260,56,Exec-managerial,Private,Bachelors,50,Married-civ-spouse,White,Husband,Male,0,0,13,United-States,290641,>50K
person 10261,33,Machine-op-inspct,Private,10th,40,Married-civ-spouse,White,Husband,Male,0,0,6,United-States,245378,<=50K
person 10262,44,Sales,Private,HS-grad,40,Never-married,White,Not-in-family,Female,0,0,9,United-States,179136,<=50K
person 10263,21,Craft-repair,Private,HS-grad,40,Never-married,White,Own-child,Male,0,0,9,United-States,116788,<=50K
person 10264,21,Adm-clerical,Private,HS-grad,40,Never-married,White,Not-in-family,Male,0,0,9,United-States,129699,<=50K
person 10265,46,Exec-managerial,Federal-gov,Masters,40,Married-civ-spouse,White,Husband,Male,0,0,14,England,39606,>50K
person 10266,44,Exec-managerial,Self-emp-inc,Some-college,50,Married-civ-spouse,White,Husband,Male,0,0,10,United-States,95150,>50K
person 10268,44,Adm-clerical,Private,HS-grad,30,Married-civ-spouse,White,Wife,Female,0,0,9,United-States,199191,<=50K
person 10269,31,Craft-repair,Private,Some-college,45,Married-civ-spouse,White,Husband,Male,0,0,10,Mexico,229636,<=50K
person 10270,26,Exec-managerial,Private,Some-college,42,Married-civ-spouse,White,Husband,Male,0,0,10,United-States,53833,<=50K
person 10271,37,Transport-moving,Self-emp-inc,HS-grad,50,Never-married,White,Not-in-family,Male,0,0,9,United-States,27997,<=50K
person 10272,60,?,?,Some-college,40,Divorced,White,Not-in-family,Female,0,0,10,United-States,124487,>50K
person 10273,33,Craft-repair,Private,Bachelors,45,Married-civ-spouse,White,Husband,Male,0,0,13,United-States,111363,<=50K
person 10274,38,Exec-managerial,Private,Bachelors,40,Married-civ-spouse,White,Husband,Male,0,0,13,United-States,107630,<=50K
person 10276,46,Exec-managerial,Self-emp-inc,Assoc-voc,63,Divorced,Asian-Pac-Islander,Unmarried,Female,0,0,11,Thailand,283004,<=50K
person 10277,24,Other-service,Private,HS-grad,35,Never-married,White,Unmarried,Female,0,0,9,United-States,33616,<=50K
person 10278,47,Prof-specialty,Local-gov,Masters,35,Married-civ-spouse,White,Husband,Male,0,0,14,United-States,121124,>50K
person 10279,27,Tech-support,Private,Some-college,30,Never-married,White,Not-in-family,Female,0,0,10,United-States,188189,<=50K
person 10281,47,Adm-clerical,Federal-gov,Assoc-acdm,40,Married-civ-spouse,Black,Husband,Male,0,0,12,United-States,282830,>50K
person 10283,51,Transport-moving,Private,HS-grad,40,Married-civ-spouse,Black,Husband,Male,0,0,9,United-States,427781,<=50K
person 10284,36,Sales,Private,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,0,9,United-States,334291,>50K
person 10285,50,Prof-specialty,Local-gov,Masters,40,Married-civ-spouse,White,Wife,Female,0,0,14,United-States,173224,<=50K
person 10286,29,Prof-specialty,Private,Doctorate,60,Married-civ-spouse,Asian-Pac-Islander,Husband,Male,0,0,16,India,87507,<=50K
person 10287,27,Transport-moving,Private,10th,75,Divorced,Amer-Indian-Eskimo,Not-in-family,Male,0,0,6,United-States,204497,<=50K
person 10288,60,Adm-clerical,Private,7th-8th,35,Divorced,White,Not-in-family,Female,0,0,4,Cuba,230545,<=50K
person 10289,31,Other-service,Private,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,0,9,United-States,118161,<=50K
person 10290,46,Craft-repair,Private,Assoc-acdm,40,Married-civ-spouse,White,Husband,Male,0,0,12,United-States,150499,<=50K
person 10292,39,Craft-repair,Private,Some-college,52,Married-civ-spouse,Black,Husband,Male,0,0,10,United-States,288551,>50K
person 10294,54,Exec-managerial,Self-emp-inc,Bachelors,40,Married-civ-spouse,White,Husband,Male,0,0,13,United-States,124963,>50K
person 10296,47,Adm-clerical,Federal-gov,Some-college,40,Divorced,White,Not-in-family,Female,0,0,10,United-States,126204,<=50K
person 10297,25,Tech-support,Private,Assoc-acdm,45,Never-married,White,Not-in-family,Female,0,0,12,United-States,91709,<=50K
person 10298,34,Transport-moving,Self-emp-not-inc,HS-grad,60,Married-civ-spouse,White,Husband,Male,0,0,9,United-States,152109,<=50K
person 10299,24,Farming-fishing,Self-emp-not-inc,7th-8th,50,Never-married,White,Own-child,Male,0,0,4,United-States,191954,<=50K
person 10302,44,Prof-specialty,Private,Bachelors,40,Never-married,White,Not-in-family,Male,0,0,13,United-States,320277,<=50K
person 10304,36,Other-service,Private,10th,40,Divorced,White,Not-in-family,Female,0,0,6,United-States,168276,<=50K
person 10305,37,Handlers-cleaners,Private,HS-grad,40,Married-civ-spouse,White,Wife,Female,0,0,9,United-States,254973,>50K
person 10306,37,Machine-op-inspct,Private,10th,65,Never-married,White,Not-in-family,Male,0,0,6,United-States,95336,<=50K
person 10307,33,Transport-moving,Private,HS-grad,60,Married-civ-spouse,White,Husband,Male,0,0,9,United-States,227282,<=50K
person 10308,19,Adm-clerical,Private,Some-college,10,Never-married,White,Own-child,Female,0,0,10,United-States,138153,<=50K
person 10309,20,?,?,Some-college,30,Never-married,White,Own-child,Female,0,0,10,United-States,111252,<=50K
person 10310,20,?,?,Some-college,20,Never-married,White,Own-child,Female,0,0,10,United-States,168863,<=50K
person 10312,40,Adm-clerical,Private,HS-grad,40,Divorced,White,Unmarried,Female,0,0,9,United-States,141657,<=50K
person 10313,26,Adm-clerical,Private,HS-grad,40,Never-married,White,Not-in-family,Male,0,0,9,United-States,172230,<=50K
person 10315,45,Prof-specialty,Local-gov,Bachelors,40,Married-civ-spouse,Black,Husband,Male,0,0,13,United-States,55377,<=50K
person 10316,35,Adm-clerical,State-gov,Some-college,38,Never-married,White,Own-child,Female,0,0,10,United-States,49352,<=50K
person 10317,32,Machine-op-inspct,Private,Some-college,45,Divorced,White,Unmarried,Male,0,0,10,United-States,213887,<=50K
person 10318,61,Other-service,Self-emp-not-inc,HS-grad,40,Widowed,White,Other-relative,Female,0,0,9,United-States,24046,<=50K
person 10319,26,Prof-specialty,State-gov,Bachelors,15,Never-married,White,Not-in-family,Male,0,0,13,United-States,208122,<=50K
person 10320,22,Adm-clerical,Private,Some-college,39,Married-spouse-absent,Asian-Pac-Islander,Own-child,Female,0,0,10,United-States,227994,<=50K
person 10321,49,Machine-op-inspct,Private,Bachelors,48,Married-civ-spouse,Black,Husband,Male,0,0,13,United-States,215389,<=50K
person 10322,40,Other-service,Private,HS-grad,12,Married-civ-spouse,White,Wife,Female,0,0,9,United-States,99434,<=50K
person 10323,37,Exec-managerial,Private,HS-grad,40,Separated,White,Own-child,Male,0,0,9,United-States,190964,<=50K
person 10324,23,?,?,Bachelors,50,Never-married,White,Own-child,Male,0,0,13,United-States,113700,<=50K
person 10325,28,Sales,Private,Bachelors,60,Married-civ-spouse,White,Husband,Male,0,0,13,United-States,259840,>50K
person 10326,27,Machine-op-inspct,Private,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,0,9,United-States,168827,<=50K
person 10327,34,Sales,Self-emp-inc,Assoc-voc,40,Divorced,White,Unmarried,Female,0,0,11,United-States,28984,<=50K
person 10329,41,Craft-repair,Private,Some-college,40,Never-married,Asian-Pac-Islander,Own-child,Male,0,0,10,United-States,82393,<=50K
person 10332,28,Protective-serv,Local-gov,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,0,9,United-States,211920,<=50K
person 10333,41,Prof-specialty,Federal-gov,Bachelors,40,Divorced,White,Not-in-family,Male,0,0,13,United-States,34178,<=50K
person 10334,50,Prof-specialty,Private,Prof-school,36,Married-civ-spouse,White,Husband,Male,0,0,15,United-States,400630,>50K
person 10335,73,Craft-repair,Self-emp-not-inc,HS-grad,24,Widowed,White,Not-in-family,Male,0,0,9,United-States,161251,<=50K
person 10336,21,Other-service,Private,Some-college,40,Never-married,Black,Own-child,Male,0,0,10,Outlying-US(Guam-USVI-etc),255685,<=50K
person 10337,38,Adm-clerical,Private,HS-grad,40,Divorced,White,Unmarried,Female,0,0,9,United-States,199256,<=50K
person 10338,64,?,?,Masters,2,Married-civ-spouse,White,Husband,Male,0,0,14,United-States,143716,<=50K
person 10339,47,Tech-support,Private,Some-college,40,Divorced,White,Unmarried,Female,0,0,10,United-States,221666,<=50K
person 10340,24,Sales,Private,Bachelors,45,Never-married,White,Not-in-family,Male,0,0,13,United-States,39615,<=50K
person 10341,44,Exec-managerial,Private,Bachelors,40,Married-civ-spouse,White,Husband,Male,0,0,13,United-States,104440,>50K
person 10342,61,Sales,Self-emp-not-inc,Some-college,60,Married-civ-spouse,Black,Husband,Male,0,0,10,United-States,503675,>50K
person 10343,49,Sales,Private,Some-college,55,Divorced,White,Unmarried,Female,0,0,10,England,50748,<=50K
person 10344,23,Adm-clerical,Private,Some-college,20,Never-married,Black,Own-child,Male,0,0,10,United-States,107190,<=50K
person 10345,19,Adm-clerical,Private,Assoc-voc,40,Never-married,Black,Own-child,Female,0,0,11,United-States,206874,<=50K
person 10346,21,Farming-fishing,Private,HS-grad,53,Never-married,White,Not-in-family,Male,0,0,9,United-States,83141,<=50K
person 10347,56,Sales,Private,11th,40,Divorced,White,Not-in-family,Female,0,0,7,United-States,444089,<=50K
person 10348,35,Craft-repair,Private,12th,40,Married-civ-spouse,White,Husband,Male,0,0,8,United-States,141896,<=50K
person 10349,37,Tech-support,Federal-gov,Some-college,20,Divorced,Amer-Indian-Eskimo,Unmarried,Female,0,0,10,United-States,33487,<=50K
person 10350,41,Sales,Private,Doctorate,50,Divorced,White,Unmarried,Female,0,0,16,United-States,65372,>50K
person 10351,30,Sales,Private,11th,40,Married-civ-spouse,White,Husband,Male,0,0,7,United-States,341346,<=50K
person 10352,35,Tech-support,Private,Doctorate,20,Married-civ-spouse,White,Wife,Female,0,0,16,?,343403,<=50K
person 10353,47,Craft-repair,Private,Some-college,40,Married-civ-spouse,White,Husband,Male,0,0,10,United-States,287480,<=50K
person 10354,55,Machine-op-inspct,Private,11th,32,Married-civ-spouse,White,Husband,Male,0,0,7,United-States,199067,<=50K
person 10355,22,?,?,Assoc-voc,20,Never-married,Asian-Pac-Islander,Own-child,Male,0,0,11,United-States,182771,<=50K
person 10356,31,Adm-clerical,Private,10th,40,Never-married,Black,Unmarried,Female,0,0,6,United-States,159737,<=50K
person 10357,24,Exec-managerial,Private,Bachelors,48,Never-married,White,Own-child,Male,0,0,13,United-States,117583,<=50K
person 10358,49,Craft-repair,Self-emp-not-inc,Some-college,40,Married-civ-spouse,White,Husband,Male,0,0,10,United-States,43479,<=50K
person 10359,23,Craft-repair,Private,7th-8th,25,Never-married,White,Not-in-family,Male,0,0,4,Germany,203003,<=50K
person 10360,50,Adm-clerical,Private,HS-grad,35,Divorced,White,Unmarried,Female,0,0,9,United-States,133963,<=50K
person 10361,38,Adm-clerical,Private,Bachelors,40,Never-married,Black,Not-in-family,Male,0,0,13,United-States,227794,<=50K
person 10362,20,Prof-specialty,Self-emp-not-inc,Some-college,20,Never-married,Asian-Pac-Islander,Other-relative,Female,0,0,10,South,112137,<=50K
person 10363,49,Craft-repair,Self-emp-not-inc,Some-college,50,Married-civ-spouse,White,Husband,Male,0,0,10,United-States,110457,>50K
person 10364,45,Other-service,Private,HS-grad,50,Widowed,Asian-Pac-Islander,Other-relative,Female,0,0,9,South,281565,<=50K
person 10365,46,Prof-specialty,Federal-gov,Bachelors,50,Married-civ-spouse,Asian-Pac-Islander,Husband,Male,0,0,13,United-States,297906,>50K
person 10366,19,Other-service,Private,HS-grad,30,Never-married,White,Own-child,Female,0,0,9,United-States,151506,<=50K
person 10367,31,Exec-managerial,Federal-gov,Bachelors,40,Never-married,White,Own-child,Female,0,0,13,Cuba,139455,<=50K
person 10368,38,Other-service,Private,HS-grad,40,Divorced,White,Unmarried,Female,0,0,9,United-States,26987,<=50K
person 10369,56,Craft-repair,Self-emp-not-inc,Masters,50,Married-civ-spouse,White,Husband,Male,0,0,14,United-States,233312,>50K
person 10370,24,Exec-managerial,Private,Bachelors,40,Never-married,White,Own-child,Male,0,0,13,United-States,161092,<=50K
person 10371,58,Exec-managerial,Local-gov,HS-grad,50,Married-civ-spouse,White,Husband,Male,0,0,9,United-States,98361,<=50K
person 10372,28,Other-service,Private,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,0,9,United-States,188928,<=50K
person 10375,30,Farming-fishing,Private,Preschool,40,Never-married,White,Not-in-family,Male,0,0,1,Mexico,193598,<=50K
person 10376,56,Adm-clerical,Private,Bachelors,45,Married-civ-spouse,White,Husband,Male,0,0,13,United-States,274111,>50K
person 10377,32,Machine-op-inspct,Private,HS-grad,40,Married-civ-spouse,Asian-Pac-Islander,Husband,Male,0,0,9,?,245482,<=50K
person 10378,56,Transport-moving,Private,HS-grad,44,Married-civ-spouse,White,Husband,Male,0,0,9,United-States,160932,>50K
person 10379,50,Exec-managerial,Private,Some-college,40,Married-civ-spouse,White,Husband,Male,0,0,10,United-States,44368,<=50K
person 10381,30,Adm-clerical,Private,Bachelors,40,Never-married,White,Not-in-family,Female,0,0,13,United-States,280927,<=50K
person 10382,24,Machine-op-inspct,Private,HS-grad,40,Never-married,White,Own-child,Male,0,0,9,United-States,222993,<=50K
person 10383,42,Prof-specialty,Federal-gov,Assoc-voc,40,Divorced,Amer-Indian-Eskimo,Unmarried,Female,0,0,11,United-States,25240,<=50K
person 10385,18,Sales,Private,11th,20,Never-married,Other,Own-child,Female,0,0,7,?,74054,<=50K
person 10386,46,Other-service,Private,10th,25,Never-married,White,Not-in-family,Female,0,0,6,Ecuador,169042,<=50K
person 10387,31,Sales,Private,Bachelors,65,Never-married,White,Not-in-family,Female,0,0,13,United-States,104509,>50K
person 10389,19,Other-service,Private,HS-grad,20,Never-married,White,Own-child,Male,0,0,9,United-States,183041,<=50K
person 10390,45,Exec-managerial,Private,Masters,40,Divorced,White,Not-in-family,Female,0,0,14,United-States,107682,>50K
person 10393,45,Other-service,Private,Some-college,40,Divorced,Black,Unmarried,Female,0,0,10,United-States,112305,<=50K
person 10394,21,Adm-clerical,Private,10th,39,Never-married,White,Not-in-family,Female,0,0,6,United-States,212661,<=50K
person 10395,37,Tech-support,Private,Bachelors,40,Married-civ-spouse,White,Wife,Female,0,0,13,United-States,32709,>50K
person 10396,42,Adm-clerical,Federal-gov,HS-grad,40,Separated,Black,Unmarried,Female,0,0,9,United-States,46366,<=50K
person 10398,45,Farming-fishing,Self-emp-not-inc,Assoc-voc,60,Married-civ-spouse,White,Husband,Male,0,0,11,United-States,40666,<=50K
person 10399,32,Tech-support,Private,Some-college,20,Never-married,White,Not-in-family,Female,0,0,10,United-States,182975,<=50K
person 10401,57,?,?,Bachelors,80,Married-civ-spouse,White,Husband,Male,0,0,13,United-States,208311,>50K
person 10403,18,?,?,Some-college,40,Never-married,White,Own-child,Female,0,0,10,United-States,201299,<=50K
person 10405,43,Prof-specialty,Private,Bachelors,40,Married-civ-spouse,White,Husband,Male,0,0,13,United-States,243580,>50K
person 10406,36,?,?,HS-grad,28,Divorced,White,Unmarried,Female,0,0,9,United-States,176458,<=50K
person 10407,33,Exec-managerial,Private,Masters,40,Never-married,White,Not-in-family,Female,0,0,14,United-States,101562,<=50K
person 10408,48,Adm-clerical,Private,HS-grad,40,Never-married,White,Not-in-family,Female,0,0,9,United-States,108699,<=50K
person 10409,34,Sales,Private,HS-grad,40,Married-civ-spouse,White,Husband,Female,0,0,9,United-States,175878,<=50K
person 10410,34,Protective-serv,Local-gov,Some-college,50,Never-married,White,Not-in-family,Male,0,0,10,United-States,177675,>50K
person 10411,33,Farming-fishing,Private,HS-grad,40,Divorced,White,Not-in-family,Male,0,0,9,United-States,213887,<=50K
person 10412,36,Exec-managerial,Private,Bachelors,60,Married-civ-spouse,White,Wife,Female,0,0,13,Germany,357619,<=50K
person 10413,39,Exec-managerial,Private,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,0,9,United-States,165799,<=50K
person 10414,22,Sales,Private,Assoc-acdm,25,Never-married,White,Own-child,Female,0,0,12,United-States,71469,<=50K
person 10416,46,Transport-moving,Private,Assoc-voc,50,Never-married,White,Not-in-family,Male,0,0,11,United-States,28419,<=50K
person 10418,47,Prof-specialty,Self-emp-not-inc,Doctorate,35,Married-civ-spouse,White,Husband,Male,0,0,16,United-States,107231,>50K
person 10419,52,Transport-moving,Local-gov,Some-college,40,Divorced,White,Not-in-family,Female,0,0,10,United-States,512103,<=50K
person 10420,38,Craft-repair,Self-emp-not-inc,9th,40,Married-civ-spouse,White,Husband,Male,0,0,5,Mexico,245090,<=50K
person 10421,58,Sales,Private,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,0,9,United-States,314153,>50K
person 10422,32,Other-service,Private,5th-6th,40,Married-civ-spouse,White,Husband,Male,0,0,3,Mexico,243988,<=50K
person 10423,54,Tech-support,Self-emp-not-inc,Assoc-voc,10,Married-civ-spouse,White,Other-relative,Female,0,0,11,United-States,82551,<=50K
person 10425,25,Sales,Private,Assoc-acdm,48,Never-married,White,Not-in-family,Male,0,0,12,United-States,235795,<=50K
person 10426,25,Craft-repair,Self-emp-not-inc,9th,15,Never-married,White,Not-in-family,Male,0,0,5,United-States,108001,<=50K
person 10427,69,Tech-support,Self-emp-not-inc,HS-grad,30,Married-civ-spouse,White,Husband,Male,0,0,9,United-States,128206,<=50K
person 10428,28,Prof-specialty,Private,Bachelors,45,Married-civ-spouse,White,Wife,Female,0,0,13,United-States,224634,>50K
person 10430,21,Farming-fishing,Private,7th-8th,40,Never-married,White,Unmarried,Male,0,0,4,United-States,346693,<=50K
person 10431,37,Tech-support,Private,Bachelors,40,Married-civ-spouse,White,Husband,Male,0,0,13,United-States,175759,>50K
person 10432,21,Machine-op-inspct,Private,HS-grad,32,Never-married,White,Own-child,Male,0,0,9,United-States,99199,<=50K
person 10433,25,?,?,Assoc-acdm,13,Married-civ-spouse,White,Husband,Male,0,0,12,United-States,219987,<=50K
person 10434,39,Other-service,Private,HS-grad,40,Married-civ-spouse,Black,Other-relative,Female,0,0,9,United-States,143445,<=50K
person 10435,34,Other-service,Private,Assoc-voc,40,Married-civ-spouse,White,Husband,Male,0,0,11,United-States,118710,>50K
person 10436,33,Craft-repair,Local-gov,HS-grad,40,Married-civ-spouse,White,Husband,Male,0,0,9,United-States,224185,<=50K
person 10437,47,Transport-moving,Private,HS-grad,50,Married-civ-spouse,White,Husband,Male,0,0,9,United-States,118972,>50K
person 10438,29,Adm-clerical,Private,Assoc-voc,40,Never-married,White,Not-in-family,Female,0,0,11,United-States,165360,<=50K
person 10439,48,Tech-support,Private,HS-grad,89,Married-civ-spouse,White,Husband,Male,0,0,9,United-States,38950,<=50K
person 10440,29,Machine-op-inspct,Private,11th,40,Divorced,White,Unmarried,Female,0,0,7,United-States,247151,<=50K
person 10441,34,Handlers-cleaners,Private,HS-grad,40,Never-married,White,Own-child,Male,0,0,9,United-States,213722,<=50K
person 10442,20,Other-service,Private,Some-college,25,Never-married,White,Own-child,Male,0,0,10,United-States,209955,<=50K
person 10443,41,Prof-specialty,Private,Masters,40,Married-civ-spouse,White,Husband,Male,0,0,14,United-States,174395,>50K
person 10444,22,?,?,Assoc-voc,40,Never-married,White,Own-child,Male,0,0,11,United-States,179973,<=50K
person 10445,23,Handlers-cleaners,Private,HS-grad,44,Divorced,White,Own-child,Male,0,0,9,United-States,200207,<=50K
person 10446,19,Adm-clerical,Private,Some-college,38,Never-married,White,Own-child,Female,0,0,10,United-States,156587,<=50K
person 10447,24,Craft-repair,Private,Some-college,40,Never-married,White,Own-child,Male,0,0,10,United-States,33016,<=50K
person 10448,20,Sales,Private,Some-college,30,Never-married,White,Own-child,Male,0,0,10,?,197496,<=50K
person 10449,32,Craft-repair,Private,HS-grad,40,Divorced,White,Not-in-family,Male,0,0,9,United-States,153588,<=50K
person 10450,36,Sales,Private,HS-grad,60,Never-married,White,Unmarried,Male,0,0,9,United-States,284166,>50K
person 10452,27,Sales,Private,HS-grad,40,Divorced,White,Own-child,Female,0,0,9,United-States,188519,<=50K
person 10453,26,Sales,Private,Some-college,60,Married-civ-spouse,White,Husband,Male,0,0,10,United-States,109080,<=50K
person 10454,52,Prof-specialty,Private,Assoc-acdm,32,Divorced,White,Unmarried,Female,0,0,12,United-States,174421,<=50K
person 10455,24,Craft-repair,Private,Some-college,40,Never-married,Amer-Indian-Eskimo,Unmarried,Male,0,0,10,Mexico,259351,<=50K
person 10456,42,Adm-clerical,Federal-gov,HS-grad,40,Divorced,Black,Not-in-family,Male,0,0,9,United-States,284403,<=50K
person 10457,20,?,?,Some-college,35,Never-married,White,Own-child,Female,0,0,10,United-States,201766,<=50K
person 10459,39,Handlers-cleaners,Private,HS-grad,40,Widowed,White,Unmarried,Male,0,0,9,?,487486,<=50K
person 10460,68,?,?,11th,30,Married-civ-spouse,White,Husband,Male,0,0,7,United-States,484298,<=50K
person 10462,54,Other-service,Private,Bachelors,40,Married-civ-spouse,White,Husband,Male,0,0,13,United-States,94055,<=50K
person 10463,24,Exec-managerial,Private,Bachelors,40,Never-married,White,Own-child,Male,0,0,13,United-States,117779,<=50K
person 10464,24,Prof-specialty,Private,Bachelors,8,Never-married,White,Not-in-family,Female,0,0,13,United-States,209770,<=50K
person 10465,20,Adm-clerical,Private,Some-college,15,Never-married,Black,Own-child,Female,0,0,10,United-States,317443,<=50K
