house,median income,median house value,housing median age,total rooms,total bedrooms,population,households,longitude,latitude,ocean proximity
house 15403,1.9571,162500,15,1430,343,704,322,-117.22,33.22,<1H OCEAN
house 15427,3.4456,165800,5,2697,639,1633,580,-117.28,33.19,NEAR OCEAN
house 16010,6.203,346800,38,5688,930,2263,908,-122.45,37.74,NEAR BAY
house 10879,3.89,170000,36,1910,352,1593,329,-117.88,33.72,<1H OCEAN
house 13125,4.8073,156700,11,1554,260,793,233,-121.29,38.28,INLAND
house 193,2.1,75000,51,175,43,228,55,-122.25,37.79,NEAR BAY
house 15949,3.8934,251800,52,3602,738,2270,647,-122.43,37.73,NEAR BAY
house 15127,3.2516,202100,16,2502,532,1211,494,-116.84,32.86,<1H OCEAN
house 11828,3.9734,185400,17,4786,799,2066,770,-121.02,39.01,INLAND
house 2717,1.7188,69900,17,1492,426,1595,428,-115.57,32.8,INLAND
house 12348,1.5595,115600,12,9482,2501,2725,1300,-116.54,33.82,INLAND
house 9536,2.3333,72800,27,949,224,888,241,-120.77,37.42,INLAND
house 16749,3.3214,243200,37,3029,738,2436,700,-122.46,37.7,NEAR OCEAN
house 13081,3.5691,116300,12,16239,3358,8656,3234,-121.35,38.54,INLAND
house 2008,1.123,46700,33,3161,934,3530,846,-119.79,36.75,INLAND
house 12201,3.6273,150900,7,7722,1324,2975,1161,-117.21,33.61,<1H OCEAN
house 5083,2.9375,95200,44,1242,270,811,274,-118.3,33.98,<1H OCEAN
house 12679,4.3288,133700,23,2790,430,1407,460,-121.38,38.55,INLAND
house 2024,1.3047,44100,41,1562,322,927,277,-119.79,36.72,INLAND
house 5174,1.8798,101300,40,935,226,818,236,-118.27,33.95,<1H OCEAN
house 19737,6.1359,106300,14,388,108,35,17,-121.78,40.12,INLAND
house 15445,4.2361,158500,2,2629,509,1044,522,-117.26,33.19,NEAR OCEAN
house 11220,2.9231,45000,21,1342,326,748,335,-117.9,33.8,<1H OCEAN
house 14235,4.436,135000,7,6055,1004,3031,952,-117.02,32.69,NEAR OCEAN
house 2792,1.8325,105800,25,3295,824,1477,770,-118.39,37.37,INLAND
house 19282,4.3523,150000,26,1446,296,884,295,-122.73,38.42,<1H OCEAN
house 8691,6.4891,278100,35,743,128,385,137,-118.33,33.87,<1H OCEAN
house 14948,5.0864,175300,16,952,143,530,143,-116.98,32.73,<1H OCEAN
house 5227,0.9298,100000,36,2452,734,2664,667,-118.25,33.93,<1H OCEAN
house 2764,4.0208,32500,15,208,49,51,20,-115.88,32.93,INLAND
house 13434,2.7757,109800,17,4109,884,2544,780,-117.43,34.11,INLAND
house 14559,6.357,322500,4,18123,3173,7301,2964,-117.22,32.95,NEAR OCEAN
house 11313,4.1917,181800,38,1476,308,1114,309,-117.95,33.77,<1H OCEAN
house 13563,3.8292,122200,36,1734,280,604,259,-117.28,34.15,INLAND
house 9581,2.0809,95800,21,1684,341,1052,312,-120.41,37.16,INLAND
house 7122,4.7861,210700,34,2518,429,1309,421,-118.02,33.91,<1H OCEAN
house 1068,3.4191,137500,52,444,80,1107,98,-121.85,39.73,INLAND
house 3913,3.1106,170600,18,5862,,3161,1280,-118.55,34.19,<1H OCEAN
house 17383,4.65,152500,21,1774,263,724,237,-120.41,34.96,<1H OCEAN
house 14073,2.2409,114200,29,2030,545,1014,518,-117.11,32.76,NEAR OCEAN
house 452,1.7778,268800,30,1465,439,862,425,-122.27,37.87,NEAR BAY
house 19297,3.8846,215900,40,2406,423,1054,426,-122.82,38.4,<1H OCEAN
house 9291,3.4432,67500,16,1495,292,472,284,-122.53,38.01,NEAR BAY
house 1568,6.7027,381900,8,3743,581,1633,567,-121.97,37.76,<1H OCEAN
house 5732,5.9199,420500,25,434,74,199,75,-118.21,34.16,<1H OCEAN
house 19196,3.4545,161200,36,1311,259,648,268,-122.68,38.44,<1H OCEAN
house 2212,2.9565,73000,14,4177,914,2300,867,-119.85,36.8,INLAND
house 16412,4.75,121400,21,336,68,206,73,-121.22,37.93,INLAND
house 6782,4.1661,364400,31,5715,1154,2639,1079,-118.16,34.11,<1H OCEAN
house 932,4.9464,223800,26,2145,369,1285,377,-122.04,37.54,NEAR BAY
house 2721,2.2417,79200,18,1715,337,1166,333,-115.52,32.77,INLAND
house 6924,3.9091,155100,34,1962,396,1488,332,-118.06,34.01,<1H OCEAN
house 6276,2.1863,157600,23,3188,836,3883,840,-117.93,34.01,<1H OCEAN
house 12689,2.8231,137500,16,2987,864,1240,755,-121.44,38.6,INLAND
house 13624,0.8658,87500,52,954,246,943,256,-117.27,34.12,INLAND
house 18991,4.6719,250000,17,1824,348,934,305,-121.99,38.48,INLAND
house 12394,2.2208,138300,15,3895,782,900,529,-116.42,33.68,INLAND
house 13479,3.0278,96800,26,1387,277,664,239,-117.39,34.07,INLAND
house 6280,4.2578,144100,22,1919,411,1203,363,-117.95,34.02,<1H OCEAN
house 7402,2.0655,93400,37,1602,388,1553,342,-118.24,33.96,<1H OCEAN
house 5668,3.4474,253400,28,2647,658,1459,595,-118.3,33.72,NEAR OCEAN
house 4727,3.625,440900,52,1563,306,776,308,-118.37,34.05,<1H OCEAN
house 14248,2.8942,124100,26,3114,686,1948,660,-117.09,32.73,NEAR OCEAN
house 18432,6.4339,289200,16,1982,280,1030,297,-121.85,37.26,<1H OCEAN
house 962,6.177,262900,20,1804,254,831,260,-121.91,37.68,<1H OCEAN
house 8675,2.4219,260700,33,2147,505,1371,498,-118.31,33.88,<1H OCEAN
house 16262,1.7898,63500,35,1511,316,892,304,-121.26,37.96,INLAND
house 1936,5.4413,187900,8,4913,744,2005,723,-120.99,38.67,INLAND
house 12068,5.2861,195100,6,16431,2640,8222,2553,-117.58,33.85,INLAND
house 2822,2.1818,63500,35,2608,620,1566,583,-119.03,35.4,INLAND
house 11929,4.0966,140100,20,1682,296,706,291,-117.37,33.94,INLAND
house 13291,2.8702,137000,36,2072,408,964,395,-117.66,34.07,INLAND
house 9774,2.9184,100500,12,4776,1082,4601,1066,-121.25,36.32,<1H OCEAN
house 14695,3.5562,73500,16,2470,830,1170,724,-117.11,32.78,NEAR OCEAN
house 3484,3.4812,160200,35,4085,919,3988,906,-118.45,34.3,<1H OCEAN
house 4009,7.9814,409900,26,5661,791,2493,780,-118.62,34.15,<1H OCEAN
house 10385,6.1493,257800,16,5175,799,2717,813,-117.66,33.62,<1H OCEAN
house 5862,5.6975,231400,48,2122,385,926,362,-118.33,34.18,<1H OCEAN
house 6388,4.125,330000,35,3585,671,1401,623,-118.07,34.16,INLAND
house 10538,8.7591,434700,4,7474,1037,2969,1007,-117.7,33.5,<1H OCEAN
house 3317,3.125,93400,9,1245,234,517,187,-122.69,38.94,INLAND
house 2272,3.5542,96500,43,2382,431,874,380,-119.8,36.78,INLAND
house 11692,3.0147,217000,17,2334,537,1662,535,-117.99,33.87,<1H OCEAN
house 216,2.7969,141700,38,3049,711,2167,659,-122.22,37.79,NEAR BAY
house 2639,1.5625,66800,22,1665,405,826,382,-124.14,40.59,NEAR OCEAN
house 12181,2.1484,129200,19,3173,678,2204,606,-117.31,33.75,<1H OCEAN
house 12404,2.7667,92900,5,1664,444,907,374,-116.25,33.69,INLAND
house 17408,2.4091,115500,24,1702,447,1240,417,-120.45,34.94,<1H OCEAN
house 15501,7.0423,500001,22,2398,407,349,169,-117.26,33.09,NEAR OCEAN
house 14436,2.9258,234800,26,3433,873,1492,798,-117.24,32.8,NEAR OCEAN
house 4349,6.5195,500001,35,3946,695,1361,620,-118.36,34.11,<1H OCEAN
house 13400,4.8283,141900,4,11587,1796,5804,1705,-117.42,34.13,INLAND
house 4188,2.975,244500,37,1799,426,1088,417,-118.23,34.13,<1H OCEAN
house 13532,4.7222,109000,6,1068,182,999,188,-117.32,34.19,INLAND
house 14198,3.25,99600,34,2328,444,1684,429,-117.03,32.71,NEAR OCEAN
house 2083,1.6429,69200,52,1853,437,764,390,-119.8,36.76,INLAND
house 5782,6.9408,298800,52,850,162,493,160,-118.24,34.16,<1H OCEAN
house 6567,5.0953,207400,39,2569,426,1282,432,-118.14,34.2,INLAND
house 17111,15.0001,500001,40,1777,207,577,207,-122.21,37.46,NEAR OCEAN
house 5039,3.8235,207600,47,2512,461,1082,426,-118.35,33.98,<1H OCEAN
house 2039,1.5449,62500,17,2438,598,1563,538,-119.69,36.74,INLAND
house 4475,3.2031,144600,43,1523,378,1338,352,-118.16,34.08,<1H OCEAN
house 18828,2.1607,61400,17,1885,350,953,328,-122.26,41.66,INLAND
house 2918,3.9097,81300,41,1944,363,977,388,-119.03,35.36,INLAND
house 4012,5.4847,296000,36,1887,359,761,329,-118.59,34.17,<1H OCEAN
house 916,4.5317,232600,26,3761,623,1776,613,-121.97,37.52,<1H OCEAN
house 19388,3.0917,88900,32,964,198,623,201,-120.86,37.76,INLAND
house 17259,3.5905,264700,37,1635,427,1027,408,-119.72,34.42,NEAR OCEAN
house 18820,3.8826,92400,17,1791,356,432,190,-120.73,39.63,INLAND
house 16688,2.1702,179700,27,3055,677,1407,610,-120.59,35.12,<1H OCEAN
house 17238,3.8456,500001,27,5509,1059,2591,979,-119.66,34.43,<1H OCEAN
house 16473,4.2448,150900,4,2058,366,933,316,-121.26,38.11,INLAND
house 489,3.3893,241700,52,2888,604,1253,538,-122.26,37.86,NEAR BAY
house 1320,4.1111,158600,10,2769,619,1045,469,-121.88,38.03,INLAND
house 17073,2.7399,87500,18,2962,945,1639,851,-122.21,37.52,NEAR BAY
house 20151,2.4185,189900,48,1459,324,902,350,-119.06,34.36,<1H OCEAN
house 7045,5.2162,171900,35,1945,357,1227,359,-118.04,33.95,<1H OCEAN
house 17336,3.0559,120100,20,3842,630,2490,662,-120.48,34.9,<1H OCEAN
house 6312,5.257,226100,25,6909,1154,3912,1121,-118,34.03,<1H OCEAN
house 16783,5.3311,270800,34,3718,676,2510,632,-122.49,37.68,NEAR OCEAN
house 113,3.0233,255000,26,3959,1196,1749,1217,-122.25,37.82,NEAR BAY
house 1056,3.0905,117800,12,7653,1578,3628,1494,-121.86,39.78,INLAND
house 3710,2.4375,176300,37,1434,394,1667,404,-118.38,34.19,<1H OCEAN
house 1306,4.8359,145300,25,1710,288,799,259,-121.83,38,INLAND
house 7567,2.5321,105100,37,2394,568,2499,551,-118.2,33.89,<1H OCEAN
house 3496,5.741,220600,35,1150,185,741,178,-118.47,34.27,<1H OCEAN
house 16001,4.0846,333600,52,1538,305,819,319,-122.47,37.74,NEAR BAY
house 13415,1.5972,112500,24,1017,227,568,187,-117.47,34.07,INLAND
house 19858,1.6645,48000,20,1469,303,1031,259,-119.42,36.35,INLAND
house 620,3.25,177500,46,2163,470,925,435,-122.17,37.73,NEAR BAY
house 14234,3.3553,132200,7,2327,490,1304,445,-117.01,32.7,NEAR OCEAN
house 15117,5.282,140800,24,1888,319,950,319,-117,32.85,<1H OCEAN
house 12324,3.5208,76600,20,260,67,69,50,-116.57,34,INLAND
house 4342,1.5685,225000,34,1562,651,1774,559,-118.3,34.08,<1H OCEAN
house 6817,3.6696,210400,40,1904,393,1183,364,-118.09,34.1,<1H OCEAN
house 18210,4.3351,267400,21,12855,3226,7273,3052,-122.06,37.4,NEAR BAY
house 19777,1.8375,79800,21,1730,350,982,322,-122.23,39.86,INLAND
house 18412,4.8862,195000,26,1394,238,990,315,-121.8,37.26,<1H OCEAN
house 4112,10.5575,500001,32,8262,1156,2712,1125,-118.4,34.13,<1H OCEAN
house 8616,5.7415,321900,17,2791,579,1467,583,-118.38,33.87,<1H OCEAN
house 13461,2.4028,112500,19,1000,211,572,230,-117.39,34.1,INLAND
house 12080,4.46,189800,22,2397,400,1347,403,-117.52,33.83,INLAND
house 19616,2.8558,100000,31,1223,330,1067,245,-121.27,37.56,INLAND
house 12523,2.0221,95800,51,2083,559,874,524,-121.47,38.56,INLAND
house 3313,3.2375,114200,17,2554,540,723,319,-122.7,38.97,INLAND
house 13807,2.3077,55500,36,2181,555,1404,492,-117.01,34.9,INLAND
house 20268,3.3409,220500,18,3620,,3171,779,-119.19,34.2,NEAR OCEAN
house 7526,1.7158,94300,37,1607,377,1526,375,-118.24,33.91,<1H OCEAN
house 5138,1.64,96800,45,1546,371,1186,366,-118.27,33.97,<1H OCEAN
house 16854,4.8295,319000,43,2367,409,1141,400,-122.42,37.62,NEAR OCEAN
house 9228,2.2527,65200,18,2287,534,1339,505,-120.05,36.95,INLAND
house 6279,3.875,135600,19,1129,258,900,228,-117.95,34.02,<1H OCEAN
house 102,3.2177,273400,28,5806,1603,2563,1497,-122.25,37.81,NEAR BAY
house 12312,2.355,122900,13,3166,682,1250,475,-116.72,33.56,INLAND
house 4927,2.2813,101300,29,1419,363,1696,317,-118.25,34,<1H OCEAN
house 17718,8.1871,500001,18,1947,250,605,184,-121.75,37.35,<1H OCEAN
house 15882,2.6538,206300,9,1282,334,1176,305,-122.41,37.75,NEAR BAY
house 4408,2.6442,136100,47,859,239,913,234,-118.23,34.09,<1H OCEAN
house 18899,2.6133,103100,49,2365,504,1131,458,-122.25,38.11,NEAR BAY
house 5723,6.207,457400,43,1708,280,768,276,-118.23,34.18,<1H OCEAN
house 8551,3.2594,233900,36,1567,362,1054,386,-118.35,33.88,<1H OCEAN
house 3928,3.9632,240300,25,1938,457,1280,425,-118.54,34.18,<1H OCEAN
house 6049,3.7454,116400,33,2318,464,1904,451,-117.74,34.02,INLAND
house 7761,3.0465,187800,34,2011,472,1087,423,-118.14,33.91,<1H OCEAN
house 976,5.0677,233300,52,775,134,315,123,-121.87,37.66,INLAND
house 20175,5.2681,500001,21,259,38,142,45,-119.17,34.31,NEAR OCEAN
house 13758,7.2972,269600,26,7561,1051,2909,1012,-117.14,34.01,INLAND
house 14899,2.3929,134400,30,144,52,220,48,-117.08,32.59,NEAR OCEAN
house 1483,1.837,175000,27,2587,729,1500,623,-122.04,37.96,NEAR BAY
house 11547,5.3559,235800,26,2532,421,1274,441,-118.04,33.74,<1H OCEAN
house 7335,2.625,206300,40,1698,431,1280,405,-118.18,33.98,<1H OCEAN
house 2564,1.1386,74100,52,1703,500,952,435,-124.16,40.8,NEAR OCEAN
house 14084,4.3875,300000,52,1506,233,478,240,-117.11,32.77,NEAR OCEAN
house 5430,3.1746,348800,22,3292,1134,1655,898,-118.42,34.02,<1H OCEAN
house 8443,4.74,230000,42,1935,388,1136,379,-118.36,33.9,<1H OCEAN
house 13085,5.6485,129500,26,1793,244,653,235,-121.36,38.57,INLAND
house 8478,4.8456,146400,35,1307,246,672,219,-118.31,33.92,<1H OCEAN
house 7141,1.8906,224500,32,1789,528,1429,517,-118.12,34.02,<1H OCEAN
house 18012,5.2528,269400,25,3075,564,1633,543,-121.98,37.27,<1H OCEAN
house 16517,2.995,124300,18,2404,498,1531,506,-121.21,37.81,INLAND
house 4674,4.6838,479000,52,1801,313,714,293,-118.35,34.08,<1H OCEAN
house 11745,5.1721,237100,17,3353,463,1417,447,-121.16,38.74,INLAND
house 2766,1.5417,57500,18,414,86,98,54,-115.9,32.69,INLAND
house 7425,1.2826,145500,48,284,104,422,119,-118.21,33.96,<1H OCEAN
house 11576,3.5139,211700,28,2401,503,1155,456,-118,33.77,<1H OCEAN
house 10496,4.0167,189600,18,2626,,1302,522,-117.66,33.51,<1H OCEAN
house 15383,3.8547,208300,17,2889,587,1931,510,-117.14,33.39,<1H OCEAN
house 5024,4.8125,170500,48,2009,335,919,297,-118.34,33.99,<1H OCEAN
house 4711,2.6781,328800,33,2880,836,1416,736,-118.35,34.05,<1H OCEAN
house 7163,1.625,129700,38,385,102,402,95,-118.17,34.04,<1H OCEAN
house 5398,5.0866,427300,45,1262,223,637,221,-118.42,34.03,<1H OCEAN
house 9163,5.0166,229000,21,1375,259,728,258,-118.48,34.42,<1H OCEAN
house 14253,2.5559,96800,29,2238,523,2061,504,-117.09,32.71,NEAR OCEAN
house 11135,4.275,186200,37,588,121,436,104,-117.94,33.85,<1H OCEAN
house 11632,3.6815,245300,17,2178,477,1077,457,-118.03,33.82,<1H OCEAN
house 2054,1.7986,49300,32,755,205,681,207,-119.73,36.68,INLAND
house 9836,3.4167,339100,36,877,175,349,168,-121.92,36.63,<1H OCEAN
house 7915,3.2639,120100,30,1901,519,2685,496,-118.08,33.88,<1H OCEAN
house 9855,6.918,500001,32,784,112,262,114,-121.89,36.59,NEAR OCEAN
house 3728,3.9099,267500,33,2717,662,1546,597,-118.43,34.18,<1H OCEAN
house 19318,2.6161,132500,30,3977,930,1387,582,-123.04,38.49,NEAR OCEAN
house 18541,3.1932,400000,51,1616,374,608,302,-122,36.93,NEAR OCEAN
house 17459,1.179,225000,23,1450,642,1258,607,-119.86,34.42,NEAR OCEAN
house 3111,3.858,70200,16,2678,483,1473,487,-117.7,35.6,INLAND
house 18063,7.9234,500001,29,2718,365,982,339,-121.99,37.26,<1H OCEAN
house 12234,2.4554,89400,20,2233,431,1024,399,-116.95,33.74,INLAND
house 2195,2.1618,55300,25,1270,255,1050,245,-120.02,36.8,INLAND
house 16270,1.9402,62200,46,2001,428,1384,401,-121.25,37.95,INLAND
house 15718,2.6782,450000,24,2459,1001,1362,957,-122.43,37.79,NEAR BAY
house 13457,4.9444,132700,16,1140,181,627,206,-117.39,34.11,INLAND
house 13784,1.5203,126200,27,1945,446,859,418,-117.06,34.03,INLAND
house 13732,2.6129,137000,52,1820,342,601,315,-117.18,34.05,INLAND
house 10742,3.5682,500001,23,1808,408,539,300,-117.92,33.61,<1H OCEAN
house 7433,4.0441,157500,45,1818,408,1705,373,-118.2,33.94,<1H OCEAN
house 14024,2.2687,200000,34,1785,558,804,490,-117.16,32.75,NEAR OCEAN
house 17157,8.4375,500001,47,932,167,295,116,-122.19,37.42,NEAR OCEAN
house 12267,2.0154,81700,23,2719,538,930,485,-116.89,33.75,INLAND
house 18797,2.2583,78800,18,754,161,247,107,-122.31,40.89,INLAND
house 1403,5.0672,243000,24,3173,548,1351,536,-122.08,37.95,NEAR BAY
house 116,3.1429,231600,52,1279,287,534,291,-122.25,37.83,NEAR BAY
house 14897,1.9267,67500,18,2602,551,1042,550,-117.07,32.6,NEAR OCEAN
house 16361,1.7774,100000,23,3706,1106,3785,1019,-121.3,38,INLAND
house 19157,4.4444,191800,16,1689,254,921,270,-122.69,38.35,<1H OCEAN
house 14491,6.7587,388500,18,3117,475,904,368,-117.24,32.85,NEAR OCEAN
house 3607,4.5484,239900,29,3354,707,1752,650,-118.48,34.23,<1H OCEAN
house 10506,3.8992,500001,5,1889,359,616,246,-117.72,33.43,<1H OCEAN
house 4172,4.1213,252100,35,4003,788,2785,764,-118.22,34.1,<1H OCEAN
house 1228,2.5667,77400,21,1435,294,668,267,-120.54,38.41,INLAND
house 16670,4.2639,350000,46,118,17,6532,13,-120.7,35.32,NEAR OCEAN
house 16682,4.4033,267600,15,5818,924,2324,845,-120.56,35.13,<1H OCEAN
house 4739,4.8958,333600,49,702,,458,187,-118.38,34.05,<1H OCEAN
house 15252,5.2742,230700,17,1853,392,351,208,-117.27,32.98,NEAR OCEAN
house 2346,2.5446,93800,13,1524,366,994,370,-119.69,36.81,INLAND
house 19339,3.276,172900,27,1823,360,907,317,-122.82,38.53,<1H OCEAN
house 17040,6.142,394700,44,4420,743,1790,735,-122.25,37.49,NEAR OCEAN
house 13529,3.0078,87100,25,2795,596,1650,569,-117.31,34.17,INLAND
house 1662,7.5695,320400,16,3421,427,1341,428,-121.94,37.93,INLAND
house 11944,4.0526,104500,36,2284,444,1425,405,-117.43,33.95,INLAND
house 11962,7.7197,193800,4,80,10,55,13,-117.42,33.89,INLAND
house 10990,3.5719,252800,19,5471,1345,2828,1247,-117.81,33.73,<1H OCEAN
house 15505,6.617,285200,14,7208,1012,3097,1014,-117.25,33.08,NEAR OCEAN
house 11997,4.2263,203200,21,5675,935,2834,865,-117.53,33.94,INLAND
house 17541,4.2381,193500,43,1086,219,715,226,-121.88,37.35,<1H OCEAN
house 305,2.8125,97300,42,1180,257,877,268,-122.18,37.77,NEAR BAY
house 8017,5.5767,218100,36,1726,287,820,288,-118.11,33.83,<1H OCEAN
house 20619,2.25,63400,25,1332,247,726,226,-121.55,39.06,INLAND
house 16164,3.9954,324700,52,1769,414,1032,380,-122.5,37.77,NEAR BAY
house 3055,1.9362,59000,33,2143,488,1732,509,-119.34,35.6,INLAND
house 18739,1.9881,85200,12,3900,863,2145,864,-122.35,40.56,INLAND
house 9822,2.6713,234600,52,867,199,391,187,-121.92,36.62,NEAR OCEAN
house 14680,6.2047,248100,16,1049,154,467,160,-117.1,32.83,<1H OCEAN
house 10917,3.415,172500,52,2411,526,2165,521,-117.87,33.74,<1H OCEAN
house 7361,2.0162,142000,28,3507,969,3740,970,-118.19,33.96,<1H OCEAN
house 11782,3.5288,141100,11,1851,352,1049,369,-121.24,38.78,INLAND
house 15446,4.5764,207000,18,1891,306,830,279,-117.25,33.19,<1H OCEAN
house 1706,4.4387,190000,20,7578,1426,3637,1362,-122.29,37.94,NEAR BAY
house 2692,1.9911,67500,10,1879,387,1376,337,-115.52,32.97,INLAND
house 4662,1.9152,115600,44,1612,650,2028,593,-118.3,34.05,<1H OCEAN
house 1233,2.8208,139900,10,4300,845,1480,609,-120.36,38.21,INLAND
house 16377,2.5842,111300,7,2021,441,1615,406,-121.29,38.03,INLAND
house 11673,4.4821,214100,35,3473,563,2091,580,-118.02,33.84,<1H OCEAN
house 9710,0.9914,147500,10,913,265,508,251,-121.66,36.68,<1H OCEAN
house 14982,4.0391,169500,15,825,130,334,131,-116.99,32.72,<1H OCEAN
house 2377,1.7132,55900,21,1551,423,1519,406,-119.55,36.69,INLAND
house 18150,4.0129,342400,17,1165,278,598,287,-122.03,37.34,<1H OCEAN
house 7622,4.25,169200,18,6812,1263,3704,1216,-118.25,33.87,<1H OCEAN
house 16100,2.8448,268900,43,2345,624,1439,614,-122.51,37.76,NEAR OCEAN
house 15911,2.9911,263900,52,1271,353,1076,324,-122.42,37.74,NEAR BAY
house 2017,1.5625,52800,25,1026,221,789,183,-119.81,36.71,INLAND
house 10895,3.413,150600,37,1429,428,2089,399,-117.86,33.72,<1H OCEAN
house 924,9.7194,500001,9,4909,577,1981,591,-121.89,37.49,<1H OCEAN
house 6499,3.25,159200,37,775,179,726,183,-118.03,34.08,INLAND
house 11780,5.8718,201400,6,3819,550,1738,587,-121.28,38.77,INLAND
house 1605,3.5536,387200,11,1077,318,590,264,-122.07,37.88,NEAR BAY
house 11409,6.1092,306500,20,2781,407,1242,408,-117.95,33.71,<1H OCEAN
house 18583,3.1815,189100,19,2512,509,1856,537,-121.79,36.93,<1H OCEAN
house 11797,4.0282,126400,16,3155,541,1630,540,-121.3,39,INLAND
house 3974,2.85,187500,15,3061,1079,2173,1078,-118.58,34.19,<1H OCEAN
house 4338,2.8971,251100,27,1514,510,1603,518,-118.31,34.08,<1H OCEAN
house 371,3.225,135800,44,1938,399,946,331,-122.15,37.75,NEAR BAY
house 13912,2.2083,42500,23,1175,468,355,151,-116.22,34.21,INLAND
house 8611,5.0784,295900,37,1768,314,802,290,-118.36,33.86,<1H OCEAN
house 19201,3.2935,157800,35,1304,343,822,304,-122.7,38.44,<1H OCEAN
house 4406,4.9844,187500,52,109,20,86,24,-118.24,34.08,<1H OCEAN
house 20256,4.1949,197100,29,4188,816,2783,790,-119.17,34.22,NEAR OCEAN
house 20457,4.7574,209900,10,1658,310,1053,333,-118.77,34.27,<1H OCEAN
house 17476,5.0767,271200,25,3160,507,1514,523,-119.89,34.44,NEAR OCEAN
house 11270,3.6531,143500,18,3679,694,1820,652,-118,33.79,<1H OCEAN
house 18873,5.2957,171900,18,6860,1079,3205,1058,-122.2,38.09,NEAR BAY
house 19900,1.684,65900,22,2295,508,1654,478,-119.2,36.28,INLAND
house 3742,3.3906,223800,44,477,91,220,112,-118.39,34.18,<1H OCEAN
house 2714,4.475,96300,5,805,143,458,143,-115.58,32.81,INLAND
house 10332,6.7274,266400,5,4380,715,1913,741,-117.77,33.84,<1H OCEAN
house 12183,2.817,110000,19,2248,427,1207,368,-117.29,33.72,<1H OCEAN
house 834,3.5,154300,32,1295,280,1156,300,-122.02,37.6,NEAR BAY
house 7280,1.6667,112500,44,1087,335,1441,310,-118.25,33.98,<1H OCEAN
house 12008,7.2379,251000,15,1864,271,1006,288,-117.6,33.91,INLAND
house 8005,5.2639,242000,28,2825,470,1352,469,-118.1,33.85,<1H OCEAN
house 8669,4.5817,500001,30,3433,918,1526,828,-118.39,33.82,NEAR OCEAN
house 11073,5.3439,227100,23,2377,403,1101,408,-117.86,33.83,<1H OCEAN
house 14408,4.0313,385300,35,2494,690,1126,624,-117.25,32.77,NEAR OCEAN
house 11389,6.5501,294900,22,3592,527,1598,523,-117.98,33.65,<1H OCEAN
house 20378,8.7657,366300,24,1999,244,759,247,-118.85,34.14,<1H OCEAN
house 2447,1.625,53000,34,1911,497,1886,481,-119.61,36.56,INLAND
house 14433,3.225,229400,21,2429,579,1011,538,-117.23,32.8,NEAR OCEAN
house 16723,2.7798,205800,15,2608,525,1351,502,-120.68,35.48,<1H OCEAN
house 9058,2.4432,101100,31,2666,662,1337,602,-118.14,34.68,INLAND
house 12276,2.4322,112100,12,5876,1222,2992,1151,-116.97,33.96,INLAND
house 9178,5.305,311200,5,7748,1557,4768,1393,-118.52,34.4,<1H OCEAN
house 13208,2.5735,130500,20,2281,444,1545,481,-117.71,34.05,INLAND
house 9637,2.5074,117700,33,1541,313,880,272,-121.02,36.94,INLAND
house 16102,3.2792,260800,40,2320,562,1499,521,-122.51,37.76,NEAR OCEAN
house 14140,2.5583,120700,31,2036,501,1263,442,-117.07,32.75,NEAR OCEAN
house 15640,4.3472,500001,52,2797,685,1156,651,-122.42,37.8,NEAR BAY
house 1101,2.7143,95300,16,2867,559,1203,449,-121.75,39.88,INLAND
house 9040,2.5764,150000,14,2606,514,1228,512,-118.06,34.71,INLAND
house 8981,3.9643,275000,46,105,20,69,19,-118.41,34,<1H OCEAN
house 7542,2.12,105000,26,1000,275,1178,263,-118.2,33.9,<1H OCEAN
house 12088,5.0346,240500,10,5600,848,2573,788,-117.36,33.88,INLAND
house 12043,4.2207,141100,22,3611,666,1869,649,-117.48,33.91,INLAND
house 18865,3.8029,129900,36,3018,557,1445,556,-122.21,38.1,NEAR BAY
house 2869,2.0643,57600,33,3372,741,2352,704,-118.94,35.37,INLAND
house 11406,5.5702,342600,19,4328,849,2243,808,-117.96,33.71,<1H OCEAN
house 9537,2.8519,80700,17,2534,517,1764,502,-120.79,37.43,INLAND
house 9947,4.825,195100,29,1868,291,764,284,-122.37,38.33,NEAR BAY
house 15883,2.5694,201000,42,4110,846,2147,674,-122.39,37.74,NEAR BAY
house 6399,3.3621,377200,34,1523,311,676,295,-118.04,34.15,INLAND
house 12045,4.0556,158000,16,5418,1005,2690,1088,-117.51,33.89,INLAND
house 4394,2.7179,184300,46,3007,854,2587,814,-118.27,34.08,<1H OCEAN
house 3661,3.6591,183800,36,2557,540,1556,491,-118.4,34.22,<1H OCEAN
house 14730,4.4583,170000,31,2692,445,1129,450,-117.02,32.8,<1H OCEAN
house 13281,2.7159,139300,44,2808,585,1444,550,-117.65,34.1,INLAND
house 4401,2.875,213500,39,3162,896,1934,818,-118.28,34.08,<1H OCEAN
house 12959,1.9093,142900,13,5826,1411,2244,1219,-121.33,38.68,INLAND
house 12294,3.6339,98600,30,3915,672,1820,643,-116.9,33.98,INLAND
house 17384,4.5536,190100,9,2712,428,1116,415,-120.41,34.96,<1H OCEAN
house 1120,2.0458,105700,18,2221,459,952,440,-121.57,39.78,INLAND
house 14616,2.5682,187500,25,1399,329,1308,355,-117.16,32.8,NEAR OCEAN
house 16537,4.075,195000,7,5151,867,2553,805,-121.24,37.79,INLAND
